# 한국 ETF Top 200 — 30일 평균 거래대금 기준 (Finance_Data ohlcv_daily)
# 후보 400개 중 해외 151개 제외 → 한국 249개 → top 200
# 그룹 분포: {'주식-업종섹터': 92, '주식-시장대표': 45, '주식-전략': 28, '기타': 7, '혼합-주식채권': 7, '채권-혼합': 7, '?': 7, '원자재-금속': 2, '채권-국공채': 2, '주식-규모': 1, '부동산': 1, '부동산-리츠': 1}
# 200위 컷오프: 38억원/일
#
#  순위 코드      종목명                                      그룹                     30일평균(억)
  154 475310  SOL 반도체후공정                               주식-업종섹터                      75
  155 0090B0  PLUS K방산소부장                              주식-업종섹터                      73
  156 0052D0  TIGER 코리아배당다우존스                          주식-전략                        73
  157 475300  SOL 반도체전공정                               주식-업종섹터                      73
  158 0104N0  TIGER 200타겟위클리커버드콜                       주식-전략                        73
  159 475050  ACE KPOP포커스                              주식-업종섹터                      69
  160 277630  TIGER 코스피                                주식-시장대표                      68
  161 0153K0  KODEX 주주환원고배당주                           주식-전략                        67
  162 497880  SOL CD금리&머니마켓액티브                         채권-혼합                        67
  163 0182S0  1Q K반도체TOP2채권혼합50                        혼합-주식채권                      67
  164 293180  HANARO 200                               주식-시장대표                      66
  165 214980  KODEX 단기채권PLUS                           채권-혼합                        60
  166 455860  SOL 2차전지소부장Fn                            주식-업종섹터                      59
  167 0025N0  TIGER TDF2045                            ?                            59
  168 310960  TIGER 200TR                              주식-시장대표                      59
  169 332500  ACE 200TR                                주식-시장대표                      59
  170 0166S0  PLUS K제조업핵심기업액티브                         주식-업종섹터                      57
  171 0189B0  TIGER 은액티브                               ?                            57
  172 152500  ACE 레버리지                                 주식-시장대표                      56
  173 123310  TIGER 인버스                                주식-시장대표                      55
  174 157450  TIGER 단기통안채                              채권-국공채                       55
  175 487750  BNK 온디바이스AI                              주식-업종섹터                      54
  176 295040  SOL 200TR                                주식-시장대표                      53
  177 490480  SOL K방산                                  주식-업종섹터                      52
  178 434060  KODEX TDF2050액티브                         ?                            52
  179 495060  TIME 코리아밸류업액티브                           주식-시장대표                      51
  180 266160  RISE 고배당                                 주식-전략                        50
  181 0172Y0  ACE K수출핵심TOP10산업액티브                      주식-업종섹터                      50
  182 495550  SOL 코리아밸류업TR                             주식-시장대표                      47
  183 471230  KODEX 국고채10년액티브                          채권-국공채                       47
  184 0172V0  1Q 은액티브                                  ?                            46
  185 465350  RISE 2차전지TOP10인버스(합성)                    주식-업종섹터                      45
  186 0089D0  KODEX 금융고배당TOP10                         주식-업종섹터                      44
  187 273130  KODEX 종합채권(AA-이상)액티브                     채권-혼합                        44
  188 454320  HANARO CAPEX설비투자iSelect                  주식-업종섹터                      44
  189 0138Y0  PLUS 금채권혼합                               ?                            43
  190 261070  TIGER 코스닥150바이오테크                        주식-업종섹터                      43
  191 138520  TIGER 삼성그룹                               주식-전략                        42
  192 315930  KODEX Top5PlusTR                         주식-전략                        41
  193 363580  KODEX 200IT TR                           주식-업종섹터                      41
  194 266370  KODEX IT                                 주식-업종섹터                      40
  195 448100  WON 200                                  주식-시장대표                      40
  196 0150K0  KoAct 수소전력ESS인프라액티브                      주식-업종섹터                      39
  197 160580  TIGER 구리실물                               ?                            39
  198 0177A0  WON 두산그룹포커스                              주식-전략                        38
  199 337160  KODEX 200ESG                             주식-전략                        38
  200 0064K0  KODEX 금액티브                               ?                            38
